symbol,current_price,high,low,open,previous_close,timestamp
AAPL,253.79,255.48,247.101,247.91,246.63,2026-04-01 06:13:40.354556
MSFT,370.17,372.9,363.07,364.55,358.96,2026-04-01 06:13:40.438995
GOOGL,287.56,288.08,277.09,278.04,273.5,2026-04-01 06:13:40.502244
AMZN,208.27,210.28,204.14,204.845,200.95,2026-04-01 06:13:40.587921
META,572.13,573.69,546.77,549.98,536.38,2026-04-01 06:13:40.710676
TSLA,371.75,373.33,361,361.51,355.28,2026-04-01 06:13:40.819426
NVDA,174.4,174.62,166.96,166.97,165.17,2026-04-01 06:13:40.905978
AMD,203.43,204,196.41,198.05,196.04,2026-04-01 06:13:40.999734
INTC,44.13,44.23,41.6,41.95,41.19,2026-04-01 06:13:41.089888
NFLX,96.15,96.26,93.03,93.03,92.97,2026-04-01 06:13:41.332059
DIS,96.38,96.885,94.19,95.34,94.32,2026-04-01 06:13:41.442781
JPM,294.16,295.072,284.945,288.47,283.77,2026-04-01 06:13:41.608567
BAC,48.75,48.77,47.37,47.68,47.23,2026-04-01 06:13:41.720461
XOM,169.66,174.38,165.97,172.67,171.47,2026-04-01 06:13:42.005021
KO,76.05,77.015,75.505,76.53,76.27,2026-04-01 06:13:42.103455
